SampleName,Camalexin (ng/mm),Cam.SE,Lesion Area (mm2),Les.SE
COL0G1F11,5.2883567,2.385186,17.837435,3.762013
COL0G2E11,5.2883567,2.385186,17.837435,3.762013
COL0G2F11,5.2883567,2.385186,17.837435,3.762013
COIL1G1F38,5.34611093,1.627632,28.927143,6.724329
COIL1G2E38,5.34611093,1.627632,28.927143,6.724329
COIL1G2F38,5.34611093,1.627632,28.927143,6.724329
COIL1G1E70,5.42544411,1.535973,34.129692,6.738303
COIL1G1F70,5.42544411,1.535973,34.129692,6.738303
COIL1G2E70,5.42544411,1.535973,34.129692,6.738303
COIL1G2F70,5.42544411,1.535973,34.129692,6.738303
NPR1G1E59,5.5097357,2.314331,38.858263,4.710905
NPR1G1F59,5.5097357,2.314331,38.858263,4.710905
NPR1G2E59,5.5097357,2.314331,38.858263,4.710905
NPR1G2F59,5.5097357,2.314331,38.858263,4.710905
COL0G1E49,5.5198226,2.385849,25.488157,3.762368
COL0G1F49,5.5198226,2.385849,25.488157,3.762368
COL0G2E49,5.5198226,2.385849,25.488157,3.762368
COL0G2F49,5.5198226,2.385849,25.488157,3.762368
NPR1G1E07,5.5358455,2.089454,26.170034,4.728019
NPR1G1F07,5.5358455,2.089454,26.170034,4.728019
NPR1G2E07,5.5358455,2.089454,26.170034,4.728019
NPR1G2F07,5.5358455,2.089454,26.170034,4.728019
NPR1G1E56,5.5475971,2.082647,38.835048,4.714353
NPR1G1F56,5.5475971,2.082647,38.835048,4.714353
NPR1G2E56,5.5475971,2.082647,38.835048,4.714353
NPR1G2F56,5.5475971,2.082647,38.835048,4.714353
NPR1G1E79,5.5529479,2.0799,15.37727,4.712166
NPR1G1F79,5.5529479,2.0799,15.37727,4.712166
NPR1G2E79,5.5529479,2.0799,15.37727,4.712166
NPR1G2F79,5.5529479,2.0799,15.37727,4.712166
COIL1G1E83,5.56573011,1.532637,8.597215,6.722192
COIL1G1F83,5.56573011,1.532637,8.597215,6.722192
COIL1G2E83,5.56573011,1.532637,8.597215,6.722192
COIL1G2F83,5.56573011,1.532637,8.597215,6.722192
NPR1G1E66,5.6240851,2.323139,25.410438,4.723992
